city_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
128,Pitsunda,GE,43.1592,40.3378,42.8,81,90,11.18,light rain
129,Key West,US,24.5557,-81.7826,70.0,100,75,5.75,broken clouds
130,Hermon,US,44.8101,-68.9134,34.0,100,90,5.39,fog
131,Porto Belo,BR,-27.1578,-48.5531,69.01,87,38,7.61,scattered clouds
132,Sisimiut,GL,66.9395,-53.6735,17.01,78,100,14.07,overcast clouds
133,Tete,MZ,-16.1564,33.5867,82.4,83,40,3.96,scattered clouds
134,Sainte-Suzanne,RE,-20.9061,55.6089,86.0,66,0,20.71,clear sky
135,Buenaventura,CO,3.8801,-77.0312,64.99,76,97,1.95,overcast clouds
136,Tambo,PE,-14.8,-73.9167,39.56,100,100,5.39,overcast clouds
137,Henties Bay,NA,-22.116,14.2845,64.99,90,56,1.99,broken clouds
138,Korla,CN,41.7597,86.1469,37.74,61,96,3.22,overcast clouds
139,Marsa Matruh,EG,31.3525,27.2453,60.8,72,75,5.75,broken clouds
140,Goderich,CA,43.7501,-81.7165,19.4,73,100,23.02,overcast clouds
141,Sao Joao Da Barra,BR,-21.6403,-41.0511,75.81,89,100,6.46,overcast clouds
142,Bukavu,CD,-2.5083,28.8608,69.06,74,99,0.47,overcast clouds
143,Lopsmarka,NO,67.3134,14.4493,26.6,93,75,6.91,broken clouds
144,Geraldton,AU,-28.7667,114.6,78.8,61,90,29.93,overcast clouds
145,Thompson,CA,55.7435,-97.8558,-25.6,68,40,9.22,snow
146,Axim,GH,4.8699,-2.2405,79.12,88,81,7.34,broken clouds
147,Bilma,NE,18.6853,12.9164,56.84,35,9,5.48,clear sky
148,Huanta,PE,-12.9333,-74.25,57.43,69,100,3.44,overcast clouds
149,Corinto,GR,37.9407,22.9573,51.01,93,20,4.63,few clouds
150,Saint Anthony,US,45.0205,-93.218,5.0,66,1,11.5,clear sky
151,Kalabo,ZM,-14.97,22.6814,69.94,89,100,5.32,moderate rain
152,Kontagora,NG,10.3999,5.4695,73.27,21,29,8.59,scattered clouds
153,Sao Mateus,BR,-18.7161,-39.8589,76.77,84,100,7.45,moderate rain
154,Nchelenge,ZM,-9.3451,28.734,70.93,90,100,6.62,light rain
155,Kismayo,SO,-0.3582,42.5454,80.35,72,30,15.1,scattered clouds
156,Mecca,SA,21.4267,39.8261,65.75,55,9,2.53,clear sky
157,Hambantota,LK,6.1241,81.1185,84.2,79,75,4.61,light rain
158,Vila Franca Do Campo,PT,37.7167,-25.4333,57.2,88,40,10.36,scattered clouds
159,Bellview,US,30.4616,-87.315,51.01,71,90,4.61,overcast clouds
160,Santa Maria,BR,-29.6842,-53.8069,56.5,90,0,2.13,clear sky
161,Uruacu,BR,-14.5247,-49.1408,70.63,93,100,1.9,overcast clouds
162,Husavik,IS,66.0449,-17.3389,35.6,64,90,12.66,overcast clouds
163,Coihaique,CL,-45.5752,-72.0662,62.6,55,0,8.05,clear sky
164,Calama,CL,-22.4667,-68.9333,51.8,50,0,10.36,clear sky
165,Spas-Demensk,RU,54.4122,34.0226,-2.87,93,90,6.69,overcast clouds
166,Dwarka,IN,22.2394,68.9678,75.42,35,0,19.04,clear sky
167,Mahebourg,MU,-20.4081,57.7,77.0,94,75,6.91,light rain
168,Koszalin,PL,54.1944,16.1722,23.0,85,54,8.68,broken clouds
169,Rawson,AR,-43.3002,-65.1023,61.25,74,0,14.58,clear sky
170,Pucallpa,PE,-8.3791,-74.5539,73.33,92,96,0.81,overcast clouds
171,Florida,US,28.7505,-82.5001,62.6,94,90,3.33,heavy intensity drizzle
172,Buraydah,SA,26.326,43.975,53.6,100,75,3.44,broken clouds
173,Lima,PE,-12.0432,-77.0282,72.0,88,75,10.36,broken clouds
174,Maryville,US,35.7565,-83.9705,33.8,60,40,3.27,scattered clouds
175,Villa Del Rosario,CO,7.8339,-72.4742,72.1,70,100,2.64,overcast clouds
176,Ikongo,MG,-21.8833,47.4333,82.74,63,98,2.68,overcast clouds
